date,actual,forecast
2024-04-28,12640.21,12639.007532074827
2024-04-29,12662.01,12641.884914546323
2024-04-30,12620.01,12662.610018037703
2024-05-01,12610.17,12613.698109109955
2024-05-02,12632.22,12605.17448683496
2024-05-10,12695.0,12637.036771710362
2024-05-11,12695.0,12705.512478358192
2024-05-12,12695.0,12696.973222527882
2024-05-13,12718.08,12691.164450924636
2024-05-14,12699.85,12721.042853123661
2024-05-15,12710.95,12702.514007500882
2024-05-16,12727.96,12713.287601177124
2024-05-17,12720.0,12730.7305270121
2024-05-18,12720.0,12717.56308579198
2024-05-19,12720.0,12717.206522821696
2024-05-20,12694.87,12720.877590053424
2024-05-21,12687.7,12694.559450238736
2024-05-22,12708.86,12686.993857074507
2024-05-23,12724.72,12710.572355842363
2024-05-24,12712.88,12725.344452976073
2024-05-25,12712.88,12709.886866793899
2024-05-26,12712.88,12712.375376500122
2024-05-27,12704.68,12716.000497935112
2024-05-28,12679.99,12705.963955911393
2024-05-29,12650.09,12676.171916596204
2024-05-30,12640.87,12643.308828502466
2024-05-31,12619.83,12637.214696930077
2024-06-01,12619.83,12617.648140688954
2024-06-02,12619.83,12619.222902092382
2024-06-03,12599.85,12619.865023047596
2024-06-04,12614.95,12596.43948821032
2024-06-05,12665.03,12614.461682887344
2024-06-06,12676.03,12671.861762779252
2024-06-07,12659.97,12680.02484216284
2024-06-08,12659.97,12657.936619720083
2024-06-09,12659.97,12660.060591746358
2024-06-10,12646.87,12662.2351362761
2024-06-11,12634.92,12645.988990124431
2024-06-12,12598.05,12631.571639097367
2024-06-13,12621.01,12592.01286436997
2024-06-14,12614.8,12621.356194764568
2024-06-15,12614.8,12616.483611486334
2024-06-16,12614.8,12613.842051087693
2024-06-17,12614.8,12614.272982770584
2024-06-18,12614.8,12614.63142370763
2024-06-19,12627.02,12615.092939584914
2024-06-20,12643.91,12628.746292441936
2024-06-21,12639.81,12646.474008621239
2024-06-22,12639.81,12639.725617652397
2024-06-23,12639.81,12639.204951140784
2024-06-24,12625.18,12640.62697132533
2024-06-25,12599.92,12624.470956278425
2024-06-26,12586.41,12596.51921533253
2024-06-27,12580.27,12583.29464752504
2024-06-28,12555.16,12578.470412922563
2024-06-29,12555.16,12551.294556167486
2024-06-30,12555.16,12553.14371117254
2024-07-01,12557.67,12555.461694602007
2024-07-02,12585.01,12557.846704291744
2024-07-03,12571.9,12587.800918627536
2024-07-04,12584.05,12571.604945522253
2024-07-05,12600.05,12584.290409925077
2024-07-06,12600.05,12603.60020988504
2024-07-07,12600.05,12601.501918412465
2024-07-08,12603.72,12599.761586308923
2024-07-09,12618.26,12603.952036047902
2024-07-10,12630.03,12620.125672511429
2024-07-11,12632.88,12632.210125191508
2024-07-12,12655.02,12633.702245192646
2024-07-13,12655.02,12657.706176571372
2024-07-14,12655.02,12656.740868682738
2024-07-15,12635.27,12655.103100772327
2024-07-16,12607.62,12633.550457629288
2024-07-17,12586.03,12603.888144434806
2024-07-18,12587.94,12582.520696775497
2024-07-19,12601.08,12586.824775703544
2024-07-20,12601.08,12601.565504812754
2024-07-21,12601.08,12600.131960101093
2024-07-22,12610.04,12600.356119817132
2024-07-23,12593.04,12612.25631963196
2024-07-24,12584.28,12593.312269454327
2024-07-25,12625.04,12582.724846608815
2024-07-26,12634.0,12628.575264277986
2024-07-27,12634.0,12635.898076804098
2024-07-28,12634.0,12632.725327588127
2024-07-29,12599.83,12634.7945381729
2024-07-30,12574.38,12598.543879492561
2024-07-31,12541.04,12571.363307923091
2024-08-01,12544.11,12535.979743842809
2024-08-02,12574.88,12540.717370498925
2024-08-03,12574.88,12576.520085812994
2024-08-04,12574.88,12575.060319041353
2024-08-05,12581.86,12574.805658268635
2024-08-06,12594.85,12584.847489704896
2024-08-07,12615.97,12598.625519554798
2024-08-08,12640.01,12618.706691233445
