date,actual,forecast
2024-04-28,12640.21,12639.007537714771
2024-04-29,12662.01,12640.55684160737
2024-04-30,12620.01,12638.88513179206
2024-05-01,12610.17,12635.872806942358
2024-05-02,12632.22,12634.317720716204
2024-05-10,12695.0,12635.53314569671
2024-05-11,12695.0,12637.882119342547
2024-05-12,12695.0,12638.828864738472
2024-05-13,12718.08,12637.58995683558
2024-05-14,12699.85,12635.698775673409
2024-05-15,12710.95,12635.152021986249
2024-05-16,12727.96,12636.329168917135
2024-05-17,12720.0,12637.816739210777
2024-05-18,12720.0,12638.069576129335
2024-05-19,12720.0,12636.991115081026
2024-05-20,12694.87,12635.844219364439
2024-05-21,12687.7,12635.798103561143
2024-05-22,12708.86,12636.757439311412
2024-05-23,12724.72,12637.621913432667
2024-05-24,12712.88,12637.529116356298
2024-05-25,12712.88,12636.696412093115
2024-05-26,12712.88,12636.061740399979
2024-05-27,12704.68,12636.241696813033
2024-05-28,12679.99,12636.949131484633
2024-05-29,12650.09,12637.400248607324
2024-05-30,12640.87,12637.17168484896
2024-05-31,12619.83,12636.58236291894
2024-06-01,12619.83,12636.275071538807
2024-06-02,12619.83,12636.524339445547
2024-06-03,12599.85,12637.006177216585
2024-06-04,12614.95,12637.203079496088
2024-06-05,12665.03,12636.9525801583
2024-06-06,12676.03,12636.565834669213
2024-06-07,12659.97,12636.451712801412
2024-06-08,12659.97,12636.69051436043
2024-06-09,12659.97,12636.99510571264
2024-06-10,12646.87,12637.048825754378
2024-06-11,12634.92,12636.829681423244
2024-06-12,12598.05,12636.594591297742
2024-06-13,12621.01,12636.583468312016
2024-06-14,12614.8,12636.778677562983
2024-06-15,12614.8,12636.956098920651
2024-06-16,12614.8,12636.938517929393
2024-06-17,12614.8,12636.768875123678
2024-06-18,12614.8,12636.638423222403
2024-06-19,12627.02,12636.674093891696
2024-06-20,12643.91,12636.81836918451
2024-06-21,12639.81,12636.911267758194
2024-06-22,12639.81,12636.865424924563
2024-06-23,12639.81,12636.74511867521
2024-06-24,12625.18,12636.681675537006
2024-06-25,12599.92,12636.731950525922
2024-06-26,12586.41,12636.830409015149
2024-06-27,12580.27,12636.871219050388
2024-06-28,12555.16,12636.820526313077
2024-06-29,12555.16,12636.741422610557
2024-06-30,12555.16,12636.717606994553
2024-07-01,12557.67,12636.766043867838
2024-07-02,12585.01,12636.82840685759
2024-07-03,12571.9,12636.839802943477
2024-07-04,12584.05,12636.795276003453
2024-07-05,12600.05,12636.747090191815
2024-07-06,12600.05,12636.744470208478
2024-07-07,12600.05,12636.784189481745
2024-07-08,12603.72,12636.820600214129
2024-07-09,12618.26,12636.817290030598
2024-07-10,12630.03,12636.7827315273
2024-07-11,12632.88,12636.755920429154
2024-07-12,12655.02,12636.762983975925
2024-07-13,12655.02,12636.792406137643
2024-07-14,12655.02,12636.811534616727
2024-07-15,12635.27,12636.80234362002
2024-07-16,12607.62,12636.77778511614
2024-07-17,12586.03,12636.76468876098
2024-07-18,12587.94,12636.774826534762
2024-07-19,12601.08,12636.794944493822
2024-07-20,12601.08,12636.803400665809
2024-07-21,12601.08,12636.793143599645
2024-07-22,12610.04,12636.776964800621
2024-07-23,12593.04,12636.77199724786
2024-07-24,12584.28,12636.78182084067
2024-07-25,12625.04,12636.794588544633
2024-07-26,12634.0,12636.797002683119
2024-07-27,12634.0,12636.787956184637
2024-07-28,12634.0,12636.778080255197
2024-07-29,12599.83,12636.77747400757
2024-07-30,12574.38,12636.785555157634
2024-07-31,12541.04,12636.793026916557
2024-08-01,12544.11,12636.792408217754
2024-08-02,12574.88,12636.785368600104
2024-08-03,12574.88,12636.779858720207
2024-08-04,12574.88,12636.781255970238
2024-08-05,12581.86,12636.787255733267
2024-08-06,12594.85,12636.79119399198
2024-08-07,12615.97,12636.789352057469
2024-08-08,12640.01,12636.784339103466
2024-08-09,12651.98,12636.78163608422
2024-08-10,12651.98,12636.78367987144
2024-08-11,12651.98,12636.787790356773
2024-08-12,12643.0,12636.789542115532
2024-08-13,12630.96,12636.78746702229
2024-08-14,12619.96,12636.784158197965
2024-08-15,12622.77,12636.7831225325
2024-08-16,12650.05,12636.78511466973
2024-08-17,12650.05,12636.787728487443
2024-08-18,12650.05,12636.788239225913
2024-08-19,12658.0,12636.786401406478
2024-08-20,12640.93,12636.784377404414
2024-08-21,12625.21,12636.78423905078
2024-08-22,12645.01,12636.78588310367
2024-08-23,12677.04,12636.787416260106
2024-08-24,12677.04,12636.78730162905
2024-08-25,12677.04,12636.785867732782
2024-08-26,12688.08,12636.784735505986
2024-08-27,12669.65,12636.78501158565
2024-08-28,12652.19,12636.786234991167
2024-08-29,12673.94,12636.787045730378
2024-08-30,12625.01,12636.78667675353
2024-08-31,12625.01,12636.785653546325
2024-09-01,12625.01,12636.785095741729
2024-09-02,12625.01,12636.785507676635
2024-09-03,12625.01,12636.786347486011
2024-09-04,12640.04,12636.786710289409
2024-09-05,12650.26,12636.78629054215
2024-09-06,12707.95,12636.785613868686
2024-09-07,12707.95,12636.785398044098
2024-09-08,12707.95,12636.785801988986
2024-09-09,12700.1,12636.786337063786
2024-09-10,12681.79,12636.786444984133
2024-09-11,12686.71,12636.786071657114
2024-09-12,12715.07,12636.785656876686
2024-09-13,12741.76,12636.785625650418
2024-09-14,12741.76,12636.785960098636
2024-09-15,12741.76,12636.786274670972
2024-09-16,12749.75,12636.78625365763
2024-09-17,12729.48,12636.785961605245
2024-09-18,12732.56,12636.785728962823
2024-09-19,12739.95,12636.785783446914
2024-09-20,12724.84,12636.786032896907
2024-09-21,12724.84,12636.786199779852
2024-09-22,12724.84,12636.78612589934
2024-09-23,12729.83,12636.785917060402
2024-09-24,12747.29,12636.785801966955
2024-09-25,12754.83,12636.785884974695
2024-09-26,12757.65,12636.786056546835
2024-09-27,12736.48,12636.786131668936
2024-09-28,12736.48,12636.786046775791
2024-09-29,12736.48,12636.785908399199
2024-09-30,12715.42,12636.785863442507
2024-10-01,12715.42,12636.78594534144
2024-10-02,12739.99,12636.786054870789
2024-10-03,12757.94,12636.786077648552
2024-10-04,12741.02,12636.786001818762
2024-10-05,12741.02,12636.785916822457
2024-10-06,12741.02,12636.785909838345
2024-10-07,12775.02,12636.785977870184
2024-10-08,12794.88,12636.786042409636
2024-10-09,12787.03,12636.786038608365
2024-10-10,12778.0,12636.785979127402
2024-10-11,12768.3,12636.785931329485
2024-10-12,12768.3,12636.785942067952
2024-10-13,12768.3,12636.785992927582
2024-10-14,12780.14,12636.78602727525
2024-10-15,12803.05,12636.786012488983
2024-10-16,12793.03,12636.78596986664
2024-10-17,12777.06,12636.785946122529
2024-10-18,12803.06,12636.78596284509
2024-10-19,12803.06,12636.78599789535
2024-10-20,12803.06,12636.786013446628
2024-10-21,12815.13,12636.785996279781
2024-10-22,12805.09,12636.785967983837
2024-10-23,12817.85,12636.785958623166
2024-10-24,12827.9,12636.78597522618
2024-10-25,12816.11,12636.78599764555
2024-10-26,12816.11,12636.786002447892
2024-10-27,12816.11,12636.785987046724
2024-10-28,12808.39,12636.7859696304
2024-10-29,12794.92,12636.78596808009
2024-10-30,12784.97,12636.785981917841
2024-10-31,12774.34,12636.785995158236
2024-11-01,12780.09,12636.785994482148
2024-11-02,12780.09,12636.78598236866
