date,actual,forecast
2024-04-30,12620.010000000002,12676.959
2024-05-01,12610.17,12670.35
2024-05-02,12632.22,12661.943
2024-05-10,12695.0,12654.273
2024-05-11,12695.0,12649.53
2024-05-12,12695.0,12649.586
2024-05-13,12718.08,12652.676
2024-05-14,12699.85,12660.491
2024-05-15,12710.949999999999,12668.803
2024-05-16,12727.96,12676.756
2024-05-17,12720.0,12684.18
2024-05-18,12720.0,12693.863
2024-05-19,12720.0,12702.883
2024-05-20,12694.87,12709.543
2024-05-21,12687.7,12710.976
2024-05-22,12708.86,12710.479
2024-05-23,12724.72,12709.699
2024-05-24,12712.88,12708.927
2024-05-25,12712.88,12709.754
2024-05-26,12712.88,12709.799
2024-05-27,12704.68,12709.055
2024-05-28,12679.99,12708.584
2024-05-29,12650.09,12706.731
2024-05-30,12640.869999999999,12702.226
2024-05-31,12619.83,12696.529
2024-06-01,12619.83,12688.838
2024-06-02,12619.83,12678.3955
2024-06-03,12599.85,12666.976
2024-06-04,12614.950000000003,12655.893
2024-06-05,12665.03,12645.25
2024-06-06,12676.03,12638.2295
2024-06-07,12659.97,12636.041
2024-06-08,12659.97,12637.163
2024-06-09,12659.97,12640.377
2024-06-10,12646.87,12644.218
2024-06-11,12634.92,12648.393
2024-06-12,12598.05,12650.846
2024-06-13,12621.01,12650.267
2024-06-14,12614.8,12648.84
2024-06-15,12614.8,12646.052
2024-06-16,12614.8,12640.188
2024-06-17,12614.8,12634.183
2024-06-18,12614.8,12629.661
2024-06-19,12627.02,12625.704
2024-06-20,12643.909999999998,12622.865
2024-06-21,12639.81,12622.638
2024-06-22,12639.81,12624.358
2024-06-23,12639.81,12628.36
2024-06-24,12625.18,12631.019
2024-06-25,12599.92,12633.285
2024-06-26,12586.41,12633.443
2024-06-27,12580.270000000002,12631.102
2024-06-28,12555.159999999998,12626.87
2024-06-29,12555.159999999998,12620.492
2024-06-30,12555.159999999998,12611.806
2024-07-01,12557.67,12601.96
2024-07-02,12585.01,12592.875
2024-07-03,12571.9,12585.858
2024-07-04,12584.05,12580.71
2024-07-05,12600.05,12577.723
2024-07-06,12600.05,12578.161
2024-07-07,12600.05,12580.78
2024-07-08,12603.72,12584.294
2024-07-09,12618.26,12589.396
2024-07-10,12630.03,12594.963
2024-07-11,12632.88,12601.386
2024-07-12,12655.02,12608.187
2024-07-13,12655.02,12614.5
2024-07-14,12655.02,12622.505
2024-07-15,12635.27,12629.811
2024-07-16,12607.620000000003,12635.116
2024-07-17,12586.03,12637.7705
2024-07-18,12587.940000000002,12637.076
2024-07-19,12601.08,12633.8125
2024-07-20,12601.08,12629.2705
2024-07-21,12601.08,12624.441
2024-07-22,12610.04,12619.869
2024-07-23,12593.039999999999,12615.096
2024-07-24,12584.28,12610.864
2024-07-25,12625.04,12606.309
2024-07-26,12634.000000000002,12604.508
2024-07-27,12634.000000000002,12606.756
2024-07-28,12634.000000000002,12611.319
2024-07-29,12599.829999999998,12616.085
2024-07-30,12574.379999999997,12618.674
2024-07-31,12541.039999999999,12618.236
2024-08-01,12544.11,12614.067
2024-08-02,12574.880000000001,12606.72
2024-08-03,12574.880000000001,12600.639
2024-08-04,12574.880000000001,12596.207
2024-08-05,12581.86,12590.341
2024-08-06,12594.850000000002,12585.376
2024-08-07,12615.969999999998,12582.401
2024-08-08,12640.01,12582.105
2024-08-09,12651.98,12586.807
2024-08-10,12651.98,12595.37
2024-08-11,12651.98,12606.726
2024-08-12,12643.0,12617.661
2024-08-13,12630.96,12625.923
2024-08-14,12619.96,12632.503
2024-08-15,12622.77,12636.922
2024-08-16,12650.05,12639.2705
2024-08-17,12650.05,12641.108
2024-08-18,12650.05,12642.658
2024-08-19,12658.0,12643.3
2024-08-20,12640.93,12644.041
2024-08-21,12625.21,12644.786
2024-08-22,12645.01,12644.291
2024-08-23,12677.04,12644.079
2024-08-24,12677.04,12646.362
2024-08-25,12677.04,12650.865
2024-08-26,12688.08,12655.654
2024-08-27,12669.65,12659.594
2024-08-28,12652.19,12663.396
2024-08-29,12673.94,12665.563
2024-08-30,12625.01,12666.801
2024-08-31,12625.01,12667.214
2024-09-01,12625.01,12665.604
2024-09-02,12625.01,12661.603
2024-09-03,12625.01,12655.421
2024-09-04,12640.04,12649.442
2024-09-05,12650.26,12644.556
2024-09-06,12707.95,12640.934
2024-09-07,12707.95,12642.318
2024-09-08,12707.95,12648.487
2024-09-09,12700.1,12655.079
2024-09-10,12681.789999999999,12664.645
2024-09-11,12686.71,12672.663
2024-09-12,12715.07,12679.045
2024-09-13,12741.76,12685.535
2024-09-14,12741.76,12693.579
2024-09-15,12741.76,12701.859
2024-09-16,12749.75,12709.665
2024-09-17,12729.48,12714.606
2024-09-18,12732.56,12719.131
2024-09-19,12739.95,12722.648
2024-09-20,12724.84,12726.324
2024-09-21,12724.84,12730.022
2024-09-22,12724.84,12732.045
2024-09-23,12729.830000000002,12731.784
2024-09-24,12747.29,12730.059
2024-09-25,12754.83,12729.422
2024-09-26,12757.65,12730.2705
2024-09-27,12736.48,12731.797
2024-09-28,12736.48,12734.141
2024-09-29,12736.48,12735.315
2024-09-30,12715.419999999998,12735.649
2024-10-01,12715.419999999998,12735.579
2024-10-02,12739.989999999996,12734.054
2024-10-03,12757.940000000002,12732.902
2024-10-04,12741.02,12733.217
2024-10-05,12741.02,12733.317
2024-10-06,12741.02,12732.962
2024-10-07,12775.02,12732.686
2024-10-08,12794.88,12735.088
2024-10-09,12787.03,12740.021
2024-10-10,12778.0,12746.212
2024-10-11,12768.3,12753.153
2024-10-12,12768.3,12758.79
2024-10-13,12768.3,12761.874
2024-10-14,12780.14,12763.324
2024-10-15,12803.05,12765.69
2024-10-16,12793.03,12769.113
2024-10-17,12777.06,12773.113
2024-10-18,12803.06,12774.396
2024-10-19,12803.06,12774.979
2024-10-20,12803.06,12777.156
2024-10-21,12815.13,12780.126
2024-10-22,12805.090000000002,12784.08
2024-10-23,12817.85,12787.988
2024-10-24,12827.9,12791.779
2024-10-25,12816.11,12795.576
2024-10-26,12816.11,12798.163
2024-10-27,12816.11,12800.819
2024-10-28,12808.39,12803.891
2024-10-29,12794.92,12804.807
