date,actual,forecast
2024-04-28,12640.21,12649.996199999989
2024-04-29,12662.01,12651.37789999999
2024-04-30,12620.01,12656.629099999995
2024-05-01,12610.17,12656.585599999997
2024-05-02,12632.22,12655.727200000001
2024-05-10,12695.0,12678.526199999991
2024-05-11,12695.0,12694.081599999998
2024-05-12,12695.0,12695.160199999998
2024-05-13,12718.08,12692.471499999996
2024-05-14,12699.85,12700.080599999996
2024-05-15,12710.95,12691.793299999994
2024-05-16,12727.96,12691.620699999994
2024-05-17,12720.0,12693.972299999992
2024-05-18,12720.0,12690.643099999994
2024-05-19,12720.0,12689.844899999993
2024-05-20,12694.87,12686.708999999992
2024-05-21,12687.7,12685.211399999993
2024-05-22,12708.86,12659.441999999986
2024-05-23,12724.72,12689.986299999995
2024-05-24,12712.88,12687.279499999988
2024-05-25,12712.88,12686.042899999993
2024-05-26,12712.88,12687.627199999994
2024-05-27,12704.68,12690.502199999994
2024-05-28,12679.99,12689.558599999991
2024-05-29,12650.09,12652.418599999983
2024-05-30,12640.87,12649.843899999983
2024-05-31,12619.83,12648.649299999988
2024-06-01,12619.83,12649.847799999996
2024-06-02,12619.83,12651.022799999999
2024-06-03,12599.85,12649.771999999999
2024-06-04,12614.95,12650.2743
2024-06-05,12665.03,12650.864500000001
2024-06-06,12676.03,12661.743500000006
2024-06-07,12659.97,12671.566799999997
2024-06-08,12659.97,12667.873100000003
2024-06-09,12659.97,12665.2246
2024-06-10,12646.87,12670.174099999995
2024-06-11,12634.92,12661.519999999997
2024-06-12,12598.05,12665.272199999996
2024-06-13,12621.01,12657.179199999995
2024-06-14,12614.8,12655.412199999997
2024-06-15,12614.8,12651.409200000002
2024-06-16,12614.8,12648.102700000005
2024-06-17,12614.8,12647.552000000007
2024-06-18,12614.8,12644.656300000008
2024-06-19,12627.02,12648.216300000006
2024-06-20,12643.91,12653.126400000003
2024-06-21,12639.81,12653.329000000003
2024-06-22,12639.81,12661.288400000001
2024-06-23,12639.81,12662.637400000001
2024-06-24,12625.18,12662.829399999999
2024-06-25,12599.92,12662.5998
2024-06-26,12586.41,12656.346899999999
2024-06-27,12580.27,12652.008600000001
2024-06-28,12555.16,12645.5791
2024-06-29,12555.16,12628.539400000003
2024-06-30,12555.16,12615.975700000005
2024-07-01,12557.67,12603.571600000007
2024-07-02,12585.01,12595.897700000005
2024-07-03,12571.9,12597.758899999999
2024-07-04,12584.05,12585.465999999999
2024-07-05,12600.05,12596.629299999999
2024-07-06,12600.05,12607.0898
2024-07-07,12600.05,12612.803200000002
2024-07-08,12603.72,12619.194500000005
2024-07-09,12618.26,12624.098000000013
2024-07-10,12630.03,12625.778200000017
2024-07-11,12632.88,12632.603500000016
2024-07-12,12655.02,12643.905200000007
2024-07-13,12655.02,12658.185100000008
2024-07-14,12655.02,12663.303600000001
2024-07-15,12635.27,12669.673999999999
2024-07-16,12607.62,12664.247
2024-07-17,12586.03,12658.610400000003
2024-07-18,12587.94,12654.374199999998
2024-07-19,12601.08,12646.673099999998
2024-07-20,12601.08,12643.8731
2024-07-21,12601.08,12641.320700000006
2024-07-22,12610.04,12636.210400000005
2024-07-23,12593.04,12635.63040000001
2024-07-24,12584.28,12625.510500000011
2024-07-25,12625.04,12627.950800000008
2024-07-26,12634.0,12638.94650000001
2024-07-27,12634.0,12642.311200000006
2024-07-28,12634.0,12647.321600000003
2024-07-29,12599.83,12650.731300000003
2024-07-30,12574.38,12640.947000000007
2024-07-31,12541.04,12639.727200000012
2024-08-01,12544.11,12626.086900000004
2024-08-02,12574.88,12616.053000000005
2024-08-03,12574.88,12619.503100000004
2024-08-04,12574.88,12610.461700000002
2024-08-05,12581.86,12603.935599999999
2024-08-06,12594.85,12598.1166
2024-08-07,12615.97,12599.8242
2024-08-08,12640.01,12610.473600000003
2024-08-09,12651.98,12624.255300000004
2024-08-10,12651.98,12634.396100000005
2024-08-11,12651.98,12642.368600000009
2024-08-12,12643.0,12652.258600000006
2024-08-13,12630.96,12657.660800000003
2024-08-14,12619.96,12665.344099999998
2024-08-15,12622.77,12659.4374
2024-08-16,12650.05,12656.8342
2024-08-17,12650.05,12661.591800000002
2024-08-18,12650.05,12664.331
2024-08-19,12658.0,12667.390199999998
2024-08-20,12640.93,12671.5306
2024-08-21,12625.21,12662.997800000001
2024-08-22,12645.01,12664.150799999998
2024-08-23,12677.04,12661.029899999996
2024-08-24,12677.04,12679.877299999995
2024-08-25,12677.04,12680.835299999992
2024-08-26,12688.08,12680.12449999999
2024-08-27,12669.65,12684.885199999997
2024-08-28,12652.19,12675.213599999983
2024-08-29,12673.94,12667.161199999997
2024-08-30,12625.01,12673.488999999987
2024-08-31,12625.01,12658.180299999993
2024-09-01,12625.01,12659.242999999993
2024-09-02,12625.01,12657.525299999996
2024-09-03,12625.01,12657.140599999999
2024-09-04,12640.04,12658.460399999996
2024-09-05,12650.26,12657.2599
2024-09-06,12707.95,12666.4082
2024-09-07,12707.95,12696.048999999994
2024-09-08,12707.95,12695.803099999996
2024-09-09,12700.1,12694.764299999995
2024-09-10,12681.79,12695.322999999997
2024-09-11,12686.71,12663.957399999987
2024-09-12,12715.07,12667.148299999984
2024-09-13,12741.76,12689.325899999994
2024-09-14,12741.76,12687.66169999999
2024-09-15,12741.76,12685.780999999994
2024-09-16,12749.75,12688.464099999992
2024-09-17,12729.48,12691.577099999993
2024-09-18,12732.56,12690.919799999992
2024-09-19,12739.95,12686.708999999992
2024-09-20,12724.84,12686.708999999992
2024-09-21,12724.84,12686.708999999992
2024-09-22,12724.84,12686.708999999992
2024-09-23,12729.83,12686.708999999992
2024-09-24,12747.29,12686.708999999992
2024-09-25,12754.83,12686.708999999992
