date,actual,forecast
2024-04-15,12667.0,12668.195299999987
2024-04-16,12654.57,12669.236699999985
2024-04-17,12671.84,12666.791099999988
2024-04-18,12694.96,12670.223799999985
2024-04-19,12697.0,12670.810499999987
2024-04-20,12697.0,12670.810499999987
2024-04-21,12697.0,12671.460499999986
2024-04-22,12690.0,12671.625999999987
2024-04-23,12711.0,12671.625999999987
2024-04-24,12705.0,12671.351099999985
2024-04-25,12689.97,12671.467599999985
2024-04-26,12640.21,12670.885099999987
2024-04-27,12640.21,12667.086399999987
2024-04-28,12640.21,12666.931799999986
2024-04-29,12662.01,12666.852999999986
2024-04-30,12620.01,12668.178299999987
2024-05-01,12610.17,12665.467299999986
2024-05-02,12632.22,12662.56209999999
2024-06-02,12619.83,12662.76969999999
2024-06-03,12599.85,12660.646499999992
2024-06-04,12614.95,12658.284299999992
2024-06-05,12665.03,12659.514099999993
2024-06-06,12676.03,12662.53939999999
2024-06-07,12659.97,12667.753699999987
2024-06-08,12659.97,12667.652299999985
2024-06-09,12659.97,12667.738599999988
2024-06-10,12646.87,12669.841199999988
2024-06-11,12634.92,12669.041299999988
2024-06-12,12598.05,12669.461399999987
2024-06-13,12621.01,12663.33399999999
2024-06-14,12614.8,12664.473999999993
2024-06-15,12614.8,12661.96699999999
2024-06-16,12614.8,12659.975199999993
2024-06-17,12614.8,12658.699799999991
2024-06-18,12614.8,12658.109299999993
2024-06-19,12627.02,12658.959399999992
2024-06-20,12643.91,12660.663999999992
2024-06-21,12639.81,12661.429499999993
2024-06-22,12639.81,12666.841499999988
2024-06-23,12639.81,12667.938999999988
2024-06-24,12625.18,12668.980399999986
2024-06-25,12599.92,12668.108699999988
2024-06-26,12586.41,12663.848699999991
2024-06-27,12580.27,12656.616599999987
2024-06-28,12555.16,12650.888899999989
2024-06-29,12555.16,12645.551199999989
2024-06-30,12555.16,12639.88369999999
2024-07-01,12557.67,12636.52629999999
2024-07-02,12585.01,12631.344099999993
2024-07-03,12571.9,12631.424599999991
2024-07-04,12584.05,12628.547499999993
2024-07-05,12600.05,12631.181899999989
2024-07-06,12600.05,12634.823399999994
2024-07-07,12600.05,12635.121799999995
2024-07-08,12603.72,12638.975400000001
2024-07-09,12618.26,12640.083399999998
2024-07-10,12630.03,12644.580700000002
2024-07-11,12632.88,12648.722600000001
2024-07-12,12655.02,12655.549199999994
2024-07-13,12655.02,12662.655199999996
2024-07-14,12655.02,12668.418599999992
2024-07-15,12635.27,12671.843199999987
2024-07-16,12607.62,12671.552199999986
2024-07-17,12586.03,12669.340799999989
2024-07-18,12587.94,12660.158099999991
2024-07-19,12601.08,12655.061899999993
2024-07-20,12601.08,12654.597699999991
2024-07-21,12601.08,12657.681099999993
2024-07-22,12610.04,12654.614699999993
2024-07-23,12593.04,12655.34759999999
2024-07-24,12584.28,12646.420499999997
2024-07-25,12625.04,12645.562199999995
2024-07-26,12634.0,12654.561499999993
2024-07-27,12634.0,12655.81699999999
